code,date,decision,ALDnBS
510880.SS,2011-05-03A,Empty,
510880.SS,2011-05-03C,Empty,
510880.SS,2011-05-04A,Empty,
510880.SS,2011-05-04C,Empty,
510880.SS,2011-05-05A,Empty,
510880.SS,2011-05-05C,Empty,
510880.SS,2011-05-06A,Empty,
510880.SS,2011-05-06C,Empty,
510880.SS,2011-05-09A,Empty,
510880.SS,2011-05-09C,Empty,
510880.SS,2011-05-10A,Empty,
510880.SS,2011-05-10C,Empty,
510880.SS,2011-05-11A,Empty,
510880.SS,2011-05-11C,Empty,
510880.SS,2011-05-12A,Empty,
510880.SS,2011-05-12C,Empty,
510880.SS,2011-05-13A,Empty,
510880.SS,2011-05-13C,Empty,
510880.SS,2011-05-16A,Empty,
510880.SS,2011-05-16C,Empty,
510880.SS,2011-05-17A,Empty,
510880.SS,2011-05-17C,Empty,
510880.SS,2011-05-18A,Empty,
510880.SS,2011-05-18C,Long,
510880.SS,2011-05-19A,Empty,
510880.SS,2011-05-19C,Empty,
510880.SS,2011-05-20A,Empty,
510880.SS,2011-05-20C,Empty,
510880.SS,2011-05-23A,Empty,
510880.SS,2011-05-23C,Empty,
510880.SS,2011-05-24A,Empty,
510880.SS,2011-05-24C,Empty,
510880.SS,2011-05-25A,Empty,
510880.SS,2011-05-25C,Empty,
510880.SS,2011-05-26A,Empty,
510880.SS,2011-05-26C,Empty,
510880.SS,2011-05-27A,Empty,
510880.SS,2011-05-27C,Empty,
510880.SS,2011-05-30A,Empty,
510880.SS,2011-05-30C,Empty,
510880.SS,2011-05-31A,Empty,
510880.SS,2011-05-31C,Long,
510880.SS,2011-06-01A,Long,
510880.SS,2011-06-01C,Empty,
510880.SS,2011-06-02A,Empty,
510880.SS,2011-06-02C,Empty,
510880.SS,2011-06-03A,Empty,
510880.SS,2011-06-03C,Empty,
510880.SS,2011-06-07A,Empty,
510880.SS,2011-06-07C,Long,
510880.SS,2011-06-08A,Long,
510880.SS,2011-06-08C,Long,
510880.SS,2011-06-09A,Empty,
510880.SS,2011-06-09C,Empty,
510880.SS,2011-06-10A,Empty,
510880.SS,2011-06-10C,Empty,
510880.SS,2011-06-13A,Empty,
510880.SS,2011-06-13C,Empty,
510880.SS,2011-06-14A,Empty,
510880.SS,2011-06-14C,Long,
510880.SS,2011-06-15A,Empty,
510880.SS,2011-06-15C,Long,
510880.SS,2011-06-16A,Empty,
510880.SS,2011-06-16C,Empty,
510880.SS,2011-06-17A,Empty,
510880.SS,2011-06-17C,Empty,
510880.SS,2011-06-20A,Empty,
510880.SS,2011-06-20C,Empty,
510880.SS,2011-06-21A,Empty,
510880.SS,2011-06-21C,Empty,
510880.SS,2011-06-22A,Empty,
510880.SS,2011-06-22C,Empty,
510880.SS,2011-06-23A,Empty,
510880.SS,2011-06-23C,Long,
510880.SS,2011-06-24A,Long,
510880.SS,2011-06-24C,Long,
510880.SS,2011-06-27A,Long,
510880.SS,2011-06-27C,Long,
510880.SS,2011-06-28A,Long,
510880.SS,2011-06-28C,Long,
510880.SS,2011-06-29A,Long,
510880.SS,2011-06-29C,Long,
510880.SS,2011-06-30A,Long,
510880.SS,2011-06-30C,Long,
510880.SS,2011-07-01A,Long,
510880.SS,2011-07-01C,Long,
510880.SS,2011-07-04A,Long,
510880.SS,2011-07-04C,Long,
510880.SS,2011-07-05A,Long,
510880.SS,2011-07-05C,Long,
510880.SS,2011-07-06A,Long,
510880.SS,2011-07-06C,Long,
510880.SS,2011-07-07A,Long,
510880.SS,2011-07-07C,Long,
510880.SS,2011-07-08A,Long,
510880.SS,2011-07-08C,Long,
510880.SS,2011-07-11A,Long,
510880.SS,2011-07-11C,Long,
510880.SS,2011-07-12A,Long,
510880.SS,2011-07-12C,Empty,
510880.SS,2011-07-13A,Empty,
510880.SS,2011-07-13C,Empty,
510880.SS,2011-07-14A,Empty,
510880.SS,2011-07-14C,Long,
510880.SS,2011-07-15A,Empty,
510880.SS,2011-07-15C,Long,
510880.SS,2011-07-18A,Long,
510880.SS,2011-07-18C,Long,
510880.SS,2011-07-19A,Empty,
510880.SS,2011-07-19C,Empty,
510880.SS,2011-07-20A,Empty,
510880.SS,2011-07-20C,Empty,
510880.SS,2011-07-21A,Empty,
510880.SS,2011-07-21C,Empty,
